,model_year,mileage,registered_in,color,brand,vehicle,transmission,engine_type,price
0,2012,100000,Faisalabad,Grey,Suzuki,Mehran,Manual,Petrol,7.0
1,2013,94000,Lahore,Black,Toyota,Fortuner,Automatic,Petrol,70.0
2,2015,86000,Multan,Grey,Suzuki,Mehran,Manual,Petrol,8.0
3,2012,85000,Lahore,Silver,Toyota,Corolla,Automatic,Petrol,25.5
4,2011,97000,Lahore,Silver,Suzuki,MR,Automatic,Petrol,13.0
5,2018,28000,Karachi,Black,Toyota,Corolla,Automatic,Petrol,36.6
6,2020,14500,Un-Registered,White,Toyota,Raize,Automatic,Petrol,51.75
7,2006,125000,Faisalabad,White,Toyota,Vitz,Automatic,Petrol,15.75
8,2016,96000,Islamabad,White,Toyota,Corolla,Automatic,Petrol,36.2
9,2022,50,Lahore,White,Toyota,Hilux,Automatic,Diesel,114.99999999999999
10,1994,200000,Lahore,Blue,Toyota,Corolla,Manual,Diesel,10.8
11,2022,2100,Islamabad,Silver,Changan,Karvaan,Manual,Petrol,27.2
12,2022,10,Un-Registered,White,KIA,Picanto,Automatic,Petrol,32.0
13,2004,190000,Karachi,Black,Mitsubishi,Pajero,Automatic,Diesel,42.0
14,2018,35500,Karachi,Green,Toyota,Passo,Automatic,Petrol,29.5
15,2006,85000,Islamabad,White,Mitsubishi,Lancer,Automatic,Petrol,24.0
16,2005,142964,Lahore,Silver,Suzuki,Baleno,Manual,Petrol,11.5
17,2016,9000,Karachi,Black,Toyota,Tacoma,Automatic,Petrol,135.0
18,2014,149252,Karachi,White,Toyota,Aqua,Automatic,Hybrid,33.0
19,2016,46000,Lahore,White,Toyota,Corolla,Manual,Petrol,32.0
20,2007,180000,Rawalpindi,White,Toyota,Premio,Automatic,Petrol,37.0
21,2015,106000,Islamabad,Silver,Toyota,Corolla,Automatic,Petrol,31.7
22,2018,84000,Lahore,White,Toyota,Corolla,Manual,Petrol,29.2
23,2021,68000,Un-Registered,Grey,Toyota,Passo,Automatic,Petrol,35.0
24,2017,90000,Islamabad,White,Toyota,Corolla,Automatic,Petrol,34.0
25,2017,83333,Lahore,White,Suzuki,Cultus,Manual,Petrol,16.0
26,2012,15600,Islamabad,White,Suzuki,Bolan,Manual,Petrol,7.5
27,2016,38500,Karachi,Silver,Suzuki,Mehran,Manual,Petrol,8.8
28,2000,250000,Karachi,White,Suzuki,Baleno,Manual,Petrol,6.5
29,2022,1200,Sindh,White,Toyota,Corolla,Automatic,Petrol,61.5
30,2018,65000,Punjab,White,Suzuki,Wagon,Manual,Petrol,20.0
31,2021,22000,Islamabad,White,Suzuki,Alto,Manual,Petrol,21.1
32,2020,15000,Islamabad,White,Toyota,Yaris,Manual,Petrol,33.0
33,2015,145000,Karachi,Silver,Toyota,Aqua,Automatic,Hybrid,33.95
34,2018,87000,Punjab,Maroon,Daihatsu,Tanto,Automatic,Petrol,18.0
35,2022,409,Sindh,White,Toyota,Corolla,Automatic,Petrol,45.5
36,2018,30100,Un-Registered,Grey,Toyota,Vitz,Automatic,Petrol,38.25
37,2006,200000,Lahore,White,Toyota,Corolla,Manual,Petrol,13.8
38,2018,81000,Lahore,White,Toyota,Corolla,Automatic,Petrol,37.75
39,2018,53000,Lahore,White,Toyota,Corolla,Manual,Petrol,34.5
40,2013,180000,Lahore,White,Toyota,Hiace,Manual,Diesel,27.5
41,2019,32000,Un-Registered,White,Toyota,Aqua,Automatic,Hybrid,58.5
42,1999,90000,Lahore,White,Toyota,Corolla,Manual,Petrol,12.9
43,2022,5000,Un-Registered,Black,Toyota,Hilux,Automatic,Diesel,111.00000000000001
44,2013,106000,Lahore,Maroon,Toyota,Passo,Automatic,Petrol,23.0
45,2016,110000,Lahore,White,Suzuki,Wagon,Manual,Petrol,15.8
46,2013,104000,Karachi,Black,Toyota,Prado,Automatic,Petrol,150.0
47,1995,118222,Karachi,Black,Nissan,March,Manual,Petrol,8.5
48,2019,50000,Lahore,White,Suzuki,Mehran,Manual,Petrol,11.75
49,2011,35000,Lahore,Blue,Suzuki,Cultus,Manual,Petrol,12.5
50,2007,172000,Lahore,White,Toyota,Probox,Automatic,Petrol,21.5
